datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,M01AB_lag1,M01AB_lag2,M01AB_lag3,M01AB_lag4,M01AB_lag8,M01AB_lag12,M01AE_lag1,M01AE_lag2,M01AE_lag3,M01AE_lag4,M01AE_lag8,M01AE_lag12,N02BA_lag1,N02BA_lag2,N02BA_lag3,N02BA_lag4,N02BA_lag8,N02BA_lag12,N02BE_lag1,N02BE_lag2,N02BE_lag3,N02BE_lag4,N02BE_lag8,N02BE_lag12,N05B_lag1,N05B_lag2,N05B_lag3,N05B_lag4,N05B_lag8,N05B_lag12,N05C_lag1,N05C_lag2,N05C_lag3,N05C_lag4,N05C_lag8,N05C_lag12,R03_lag1,R03_lag2,R03_lag3,R03_lag4,R03_lag8,R03_lag12,R06_lag1,R06_lag2,R06_lag3,R06_lag4,R06_lag8,R06_lag12,M01AB_rollmean4,M01AB_rollstd4,M01AB_rollmean8,M01AB_rollstd8,M01AB_rollmean12,M01AB_rollstd12,M01AE_rollmean4,M01AE_rollstd4,M01AE_rollmean8,M01AE_rollstd8,M01AE_rollmean12,M01AE_rollstd12,N02BA_rollmean4,N02BA_rollstd4,N02BA_rollmean8,N02BA_rollstd8,N02BA_rollmean12,N02BA_rollstd12,N02BE_rollmean4,N02BE_rollstd4,N02BE_rollmean8,N02BE_rollstd8,N02BE_rollmean12,N02BE_rollstd12,N05B_rollmean4,N05B_rollstd4,N05B_rollmean8,N05B_rollstd8,N05B_rollmean12,N05B_rollstd12,N05C_rollmean4,N05C_rollstd4,N05C_rollmean8,N05C_rollstd8,N05C_rollmean12,N05C_rollstd12,R03_rollmean4,R03_rollstd4,R03_rollmean8,R03_rollstd8,R03_rollmean12,R03_rollstd12,R06_rollmean4,R06_rollstd4,R06_rollmean8,R06_rollstd8,R06_rollmean12,R06_rollstd12,weekofyear,month,quarter,year,is_year_start,is_year_end
2014-06-15,29.03,17.4,23.6,95.3,87.0,8.0,20.0,36.8,23.34,17.71,25.02,22.38,27.36,39.36,23.06,22.08,22.278,26.4,19.38,23.72,33.9,25.1,33.7,35.2,35.15,26.1,154.425,143.38,115.7,154.0,134.2,202.8,64.0,69.0,56.0,56.0,59.0,36.0,8.0,3.0,5.0,2.0,1.0,4.0,19.0,19.0,20.0,42.0,24.0,27.0,27.5,28.1,36.6,18.5,20.0,23.6,23.775,4.695334563869404,23.816249999999997,3.351634729075181,24.940833333333334,4.727206475351596,21.2045,2.571381146388059,23.88475,4.676018964583319,22.51816666666667,4.364657371397779,29.075000000000003,5.490825681686373,28.375000000000004,5.360636955757082,29.662499999999998,6.062369961117066,127.20125,26.78838690396757,146.68812499999999,29.097390400601203,144.91708333333332,23.79498137101539,69.0,13.140268896284683,63.0,12.094863136295281,56.833333333333336,14.57789942053215,6.0,2.4494897427831788,5.875,2.9970223317724636,5.416666666666667,2.8431203515386634,19.5,0.577350269189615,21.875,8.57633787980461,23.083333333333332,7.254570137422884,32.25,5.1449003877626245,26.299999999999997,10.04703225549003,24.599999999999998,8.477456736974403,24,6,2,2014,0,0
2014-06-22,31.68,20.73,26.1,106.7,66.0,5.0,11.0,24.0,29.03,23.34,17.71,25.02,26.36,25.69,17.4,23.06,22.08,22.278,20.215,17.33,23.6,33.9,25.1,33.7,22.0,36.2,95.3,154.425,143.38,115.7,182.5,136.6,87.0,64.0,69.0,56.0,54.0,42.0,8.0,8.0,3.0,5.0,4.0,6.0,20.0,19.0,19.0,20.0,16.0,29.0,36.8,27.5,28.1,36.6,13.0,24.5,25.439999999999998,6.217947142479316,24.48125,4.3171466684770925,25.44,5.113941728256199,20.8175,2.4704706029418686,23.949125000000002,4.621507219743669,22.8015,4.099553268345223,27.175,4.599547079151735,28.8875,4.834234316680503,28.820833333333336,5.76610228890024,124.95125,28.40554827699442,137.213125,28.0941316873801,142.42541666666668,26.190010713519037,71.5,10.53565375285274,64.5,11.551128578133467,58.833333333333336,13.992422191596381,6.0,2.4494897427831788,6.0,2.9277002188455987,5.333333333333333,2.839120649181021,17.25,4.193248541803039,21.25,9.223417401995237,21.583333333333332,7.76306328166604,29.1,5.442425929675112,27.674999999999997,8.6178800840379,24.558333333333334,8.47922148370338,25,6,2,2014,0,0
2014-06-29,21.02,27.5,37.3,156.8,96.0,1.0,6.0,18.0,31.68,29.03,23.34,17.71,22.02,19.68,20.73,17.4,23.06,22.08,27.16,22.05,26.1,23.6,33.9,25.1,23.9,36.4,106.7,95.3,154.425,143.38,176.6,153.7,66.0,87.0,64.0,69.0,49.0,31.0,5.0,8.0,8.0,3.0,6.0,7.0,11.0,20.0,19.0,19.0,24.0,27.0,24.0,36.8,27.5,28.1,13.9,20.0,26.267500000000002,4.934000236454532,24.35625,4.412025571419226,25.551666666666666,4.9898585028824085,22.1725,4.243719869799765,23.991625,4.656682569552215,23.255666666666666,4.305447381110952,30.224999999999998,6.441208478745786,30.5625,5.169121920459163,28.895833333333332,5.878406491455644,128.30625,31.886911989874392,134.73812500000003,24.80862867424207,142.68375,26.326265585135516,78.25,15.755951256588734,70.375,14.191924262964294,64.25,14.796344757466901,5.5,3.3166247903554003,5.375,3.420004177106889,4.833333333333333,3.0401355631656037,14.0,6.68331255192114,19.0,10.555973258234951,19.833333333333332,8.736894948054104,26.575,7.864847953605545,28.1875,7.76097149662518,24.391666666666666,8.595819103529694,26,6,2,2014,0,0
2014-07-06,27.35,24.74,30.0,135.8,64.0,3.0,8.0,10.0,21.02,31.68,29.03,23.34,24.67,36.03,27.5,20.73,17.4,23.06,32.485,20.38,37.3,26.1,23.6,33.9,29.6,21.2,156.8,106.7,95.3,154.425,151.6,141.0,96.0,66.0,87.0,64.0,69.0,46.0,1.0,5.0,8.0,8.0,11.0,4.0,6.0,11.0,20.0,19.0,15.0,22.0,18.0,24.0,36.8,27.5,36.0,20.3,27.27,4.531909089997288,24.69125,4.539164295330144,24.828333333333337,3.8262914238993946,22.592499999999998,4.439454733785823,23.0235,3.2230723142457034,23.619,4.223907088337657,29.25,5.978015278222915,30.612499999999997,5.160409036943818,29.629166666666666,5.3568332883138945,123.65,27.913974994615046,132.763125,23.886266666598488,142.25041666666667,26.399195102944578,78.25,15.755951256588734,69.75,14.370107863199925,65.75,13.64567863664338,4.25,2.98607881119482,4.375,2.615202805574687,4.75,3.0785179433085537,11.25,6.18465843842649,18.125,11.205069005970978,18.666666666666668,9.33549758457015,22.2,11.29719729254414,24.9375,9.311120463494941,23.53333333333333,9.507445248410065,27,7,3,2014,0,0
2014-07-13,26.01,22.38,34.7,122.8,83.0,7.0,27.0,16.2,27.35,21.02,31.68,29.03,22.38,27.36,24.74,27.5,20.73,17.4,26.4,19.38,30.0,37.3,26.1,23.6,35.2,35.15,135.8,156.8,106.7,95.3,154.0,134.2,64.0,96.0,66.0,87.0,56.0,59.0,3.0,1.0,5.0,8.0,2.0,1.0,8.0,6.0,11.0,20.0,42.0,24.0,10.0,18.0,24.0,36.8,18.5,20.0,26.515,4.390311302553997,25.145000000000003,4.455785965621393,24.715833333333336,3.764435146166947,23.8375,2.9444453354296436,22.520999999999997,2.9206324168381292,23.869,4.0347502119372,32.025000000000006,4.972842915945227,30.55,5.099579814623385,29.59166666666667,5.316091922957438,130.525,21.17787760848559,128.863125,22.42592615343415,141.30041666666668,26.915308288502867,77.25,15.12999228904849,73.125,13.840287982140104,67.75,14.309088021254187,4.0,2.5819888974716116,5.0,2.5634797778466227,5.25,2.8959218974902683,13.0,9.556847457887633,16.25,7.166389806390862,18.916666666666668,9.529459903929814,17.05,5.762811813689566,24.650000000000002,9.570191817752212,23.216666666666665,9.69721922027447,28,7,3,2014,0,0
2014-07-20,33.67,20.76,20.5,96.0,84.0,6.0,12.0,14.4,26.01,27.35,21.02,31.68,25.02,26.36,22.38,24.74,27.5,20.73,22.278,20.215,34.7,30.0,37.3,26.1,33.7,22.0,122.8,135.8,156.8,106.7,115.7,182.5,83.0,64.0,96.0,66.0,56.0,54.0,7.0,3.0,1.0,5.0,5.0,4.0,27.0,8.0,6.0,11.0,20.0,16.0,16.2,10.0,18.0,24.0,36.6,13.0,27.0125,5.2074073843580475,26.22625,5.375677864232565,25.325,4.561713194922196,23.845,2.9339109279822018,22.33125,2.987227273863558,23.914416666666664,3.9927287879647464,30.625,7.395212415249926,28.9,5.992137705837062,29.46666666666667,5.524381221348492,127.85000000000001,25.437701678152088,126.400625,25.010457875156856,134.09208333333333,26.45746719293346,81.75,13.225606476327153,76.625,12.351257888513695,70.25,14.309088021254187,4.25,2.7537852736430515,5.125,2.587745847533828,5.416666666666667,2.874917653629668,13.25,9.5,15.25,7.126409634992524,18.583333333333332,9.70902423084583,14.65,3.430743359681689,21.875,8.797524002321822,23.333333333333332,9.570725566997929,29,7,3,2014,0,0
2014-07-27,28.01,28.77,33.1,116.2,77.0,2.0,8.0,16.0,33.67,26.01,27.35,21.02,17.71,22.02,20.76,22.38,24.74,27.5,22.08,27.16,20.5,34.7,30.0,37.3,25.1,23.9,96.0,122.8,135.8,156.8,143.38,176.6,84.0,83.0,64.0,96.0,69.0,49.0,6.0,7.0,3.0,1.0,3.0,6.0,12.0,27.0,8.0,6.0,19.0,24.0,14.4,16.2,10.0,18.0,28.1,13.9,28.76,3.3774349241201853,27.513749999999998,4.134858565554914,25.82416666666667,4.49441766545068,24.1625,3.479313869141452,23.167499999999997,3.7467042660374017,24.048583333333337,4.136177252627301,29.575000000000003,6.356820484068011,29.9,5.934644049983115,30.233333333333334,5.31607054699296,117.7,16.60080319341985,123.00312500000001,24.207645034678507,129.05875,23.17750399584198,77.0,9.201449161228178,77.625,11.963486114005415,72.58333333333333,12.724052622946639,4.5,2.380476142847617,5.0,2.725540575476987,5.083333333333333,3.028901190901153,13.75,9.032349269892817,13.875,7.3569694847810805,17.25,9.992042288286667,14.15,2.881550508551486,20.3625,8.612604965149297,23.508333333333336,9.40023774683224,30,7,3,2014,0,0
2014-08-03,20.02,7.71,23.2,95.1,80.0,9.0,11.0,16.5,28.01,33.67,26.01,27.35,23.34,24.67,28.77,20.76,22.38,24.74,23.06,32.485,33.1,20.5,34.7,30.0,33.9,29.6,116.2,96.0,122.8,135.8,154.425,151.6,77.0,84.0,83.0,64.0,64.0,69.0,2.0,6.0,7.0,3.0,8.0,11.0,8.0,12.0,27.0,8.0,19.0,15.0,16.0,14.4,16.2,10.0,27.5,36.0,26.927500000000002,5.632893720519385,27.09875,4.736449657406151,25.436666666666667,4.793481053061606,19.905,8.83483446364446,21.24875,6.630389856023338,21.983999999999998,5.500526520252401,27.875,7.074072377350971,28.562500000000004,6.1075918799006645,29.700000000000003,5.6930579736121665,107.525,14.09240339095225,115.5875,22.211286545357822,124.35041666666666,23.90935823426133,81.0,3.162277660168395,79.625,10.622583758873644,73.5,12.838153364802192,6.0,2.9439202887759492,5.125,2.900123150094541,4.916666666666667,2.712205856136405,14.5,8.504900548115382,12.875,7.100050301632678,16.916666666666668,10.139556502165467,15.775,0.939414711402802,18.9875,8.177396983672217,21.883333333333336,8.704213539047242,31,8,3,2014,0,0
2014-08-10,28.36,19.74,28.4,123.6,83.0,8.0,3.0,16.9,20.02,28.01,33.67,26.01,29.03,22.38,7.71,28.77,20.76,22.38,17.4,26.4,23.2,33.1,20.5,34.7,23.6,35.2,95.1,116.2,96.0,122.8,95.3,154.0,80.0,77.0,84.0,83.0,87.0,56.0,9.0,2.0,6.0,7.0,8.0,2.0,11.0,8.0,12.0,27.0,20.0,42.0,16.5,16.0,14.4,16.2,36.8,18.5,27.515,5.6278503889140525,27.015,4.703229893229909,25.935000000000002,4.757527050513074,19.245,8.68566059663857,21.54125,6.48639771808227,21.429,5.348337821655009,26.3,5.594640292279747,29.162499999999998,5.777280007556693,29.133333333333336,5.428097495830598,107.725,14.384105811623783,119.125,20.72229648056811,121.81708333333331,22.017933853435018,81.0,3.162277660168395,79.125,10.315556906232192,75.75,11.81774474716267,6.25,3.095695936834452,5.125,2.900123150094541,5.416666666666667,2.6784776318353725,8.5,4.041451884327379,10.75,7.206148168652337,13.666666666666666,7.190060479368,15.950000000000001,1.0969655114602939,16.5,3.885136511666719,21.75,8.772736693353396,32,8,3,2014,0,0
2014-08-17,26.02,19.53,34.7,103.4,99.0,5.0,3.0,23.6,28.36,20.02,28.01,33.67,31.68,25.02,19.74,7.71,28.77,20.76,20.73,22.278,28.4,23.2,33.1,20.5,26.1,33.7,123.6,95.1,116.2,96.0,106.7,115.7,83.0,80.0,77.0,84.0,66.0,56.0,8.0,9.0,2.0,6.0,5.0,5.0,3.0,11.0,8.0,12.0,11.0,20.0,16.9,16.5,16.0,14.4,24.0,36.6,25.6025,3.861712702933767,26.3075,4.310551008861859,26.018333333333334,4.748792829060173,18.9375,8.635775877128811,21.391250000000003,6.521617760516615,21.2,5.367477823132404,29.85,5.177193576961684,30.2375,5.924269092952673,29.21666666666667,5.511613084014404,109.57499999999999,12.757318161222456,118.71249999999999,21.035442030738633,120.79208333333334,22.60701072458525,84.75,9.810708435174297,83.25,10.898885919474278,79.33333333333333,11.80395413975051,6.0,3.1622776601683795,5.125,2.900123150094541,5.416666666666667,2.6784776318353725,6.25,3.947573094109002,9.75,7.704358692139332,12.25,7.496969084539788,18.25,3.585619425798938,16.45,3.7758631936476443,20.666666666666668,7.479588386017135,33,8,3,2014,0,0
