Feature,Mean,Std
R03_lag4,0.008742044318887447,0.015189381151922582
N02BA_lag8,0.010618658905751607,0.03650500760697155
N05C_lag1,0.015843686024400703,0.011219425633519665
R06_lag12,0.02575864441374816,0.10481901866460537
N02BE_lag2,0.03141351102213588,0.0629360172388588
M01AB_lag12,0.031469900847954216,0.05930335964568443
N05C_lag8,0.03228142471000706,0.04094874305040056
M01AE_lag12,0.036640188309874824,0.323307459732721
M01AB_lag1,0.04132676894195211,0.03993603150429693
weekofyear,0.05754513937762186,0.045844577953623025
N05C_lag4,0.07184789978236772,0.044505307220390145
M01AB_lag2,0.07880092772679118,0.21216849928016532
R06_lag8,0.09465757504110452,0.06880338769389398
M01AE_lag8,0.11141346019572396,0.13375942429948376
N02BA_lag4,0.15678253869239983,0.05925874241175124
