Feature,Mean,Std
N02BA_lag4,0.14206926045858098,0.12176991094961861
M01AB_lag1,0.17664596634701912,0.1823802535700623
N05B_lag1,0.1806801703162596,0.12537499521463805
N05B_lag4,0.18842380601159667,0.12056063966817157
N05C_lag3,0.19114070797927524,0.07966440614904753
N02BE_lag3,0.22275888638483157,0.3256547748588623
N05B_lag12,0.2278828960773107,0.15149279030211987
R03_lag2,0.40075227926211027,0.6579674318240726
R06_lag12,0.430147275374992,0.5233365355535876
R06_lag2,0.5647133614969662,0.36516875011968236
R06_lag8,0.6824528962660575,0.9374264796000739
R06_lag3,1.4956795515476082,0.5614832156973967
N02BE_lag2,2.649086303159817,1.454936911775288
weekofyear,3.8643486330520243,1.0525682279339783
N02BE_lag1,37.339686989033346,6.161668611794108
