Feature,Importance
M01AB_lag2,0.0911011167859046
M01AE_lag12,0.06597141488511524
year,0.056421993746186706
R03_lag8,0.05223810496948618
M01AB_lag4,0.05211092792031949
M01AE_lag8,0.04182111636644502
N02BA_lag4,0.039644261698741724
M01AE_lag3,0.03964121069228298
N05C_lag3,0.03230395700321354
M01AB_lag12,0.02911387691218736
R06_lag8,0.027345487988434933
N05B_lag2,0.027244162666463404
N02BE_lag12,0.025408054945156668
R06_lag12,0.02397761527209569
R03_lag3,0.02372465680354558
M01AE_lag1,0.02100005069283238
M01AE_lag4,0.01650897479052985
N05B_lag8,0.0162111429598237
R06_lag1,0.015795088624961068
N02BA_lag8,0.01564255617289562
N05B_lag1,0.015267804809404954
M01AB_lag1,0.015049250510088458
N05C_lag8,0.013572873812273819
N02BA_lag2,0.013505859985798802
N02BA_lag12,0.013178829749069662
N02BE_lag2,0.013090083649002226
N02BA_lag1,0.012415467929369093
N05B_lag3,0.012373950683391189
N05C_lag4,0.012101336315099001
M01AE_lag2,0.011554988955863111
R06_lag3,0.011492092835267724
M01AB_lag3,0.01060822240884056
R06_lag2,0.010344156394658433
N05B_lag12,0.009967462119325964
N02BE_lag4,0.009901353756710455
R03_lag12,0.009679532462601108
M01AB_lag8,0.009614634932974679
weekofyear,0.009409353890443508
N02BA_lag3,0.008390701035383785
R03_lag2,0.007674604032852086
R06_lag4,0.007523113724420081
R03_lag1,0.006882944795274086
N02BE_lag1,0.006843880993437499
N02BE_lag3,0.00665600855345593
N05C_lag1,0.006354415837856021
N05C_lag12,0.0060096493278641505
N05C_lag2,0.005539855532595114
R03_lag4,0.0040779521553134255
N05B_lag4,0.003852616557076832
N02BE_lag8,0.00251665352704594
month,0.00132457683062055
