Feature,Importance
N02BE_lag1,0.5336738763918392
N02BE_lag2,0.0845747392757603
weekofyear,0.032986013646486415
M01AB_lag4,0.020150352272391068
R03_lag8,0.013842251477832744
N05B_lag1,0.013803095985045415
R06_lag1,0.01358724665403463
R06_lag8,0.013303650183628973
M01AB_lag1,0.013282579336599442
N02BE_lag4,0.013261379836758735
N05B_lag12,0.013063172899749237
R06_lag3,0.012362203843484578
N02BE_lag3,0.010928589237458456
N02BE_lag12,0.010201055810486121
M01AE_lag4,0.009210811311806268
R03_lag2,0.009014786428165224
N02BA_lag2,0.008947736228359274
M01AE_lag1,0.008886839817641847
N02BA_lag8,0.008246400416763309
N02BA_lag1,0.008099088871587567
R06_lag2,0.008003739699770961
R03_lag4,0.007853451248571956
R06_lag12,0.0071818595171113725
R03_lag1,0.00705614835287022
N05B_lag2,0.006797311352733066
R06_lag4,0.00678401782539517
N05C_lag12,0.006777009674224689
N05B_lag8,0.006751201117596902
M01AB_lag8,0.006329278781828844
N02BA_lag4,0.0062455293438215265
M01AE_lag12,0.006038746199158938
R03_lag12,0.005736725841071536
M01AE_lag3,0.004870348788002333
M01AB_lag12,0.004679731226947404
M01AB_lag3,0.004567905835016944
N05B_lag4,0.004455184572077801
N05B_lag3,0.004432084198091523
N02BA_lag12,0.004421658632634854
N02BE_lag8,0.004138529790180143
M01AB_lag2,0.004070701327638986
month,0.003851613386003884
N05C_lag3,0.003547959932701436
M01AE_lag8,0.003411059961549982
M01AE_lag2,0.003314910301469945
N05C_lag2,0.0031938249763985814
N02BA_lag3,0.002919469483516746
R03_lag3,0.0029007378133802525
N05C_lag4,0.002900553419109895
N05C_lag1,0.0021920722157638675
year,0.0016440449608585356
N05C_lag8,0.0015067202986229046
