Feature,Importance
N02BE_lag1,0.6293380234030441
N02BE_lag2,0.08934151050701264
weekofyear,0.01698027208119682
M01AB_lag4,0.016761490753646396
R06_lag1,0.01616062948567775
N02BE_lag4,0.012463408319157687
R06_lag3,0.01077833005697803
N05B_lag1,0.010078729229088357
R06_lag8,0.00951282740455976
R03_lag8,0.009168349842939957
M01AB_lag1,0.008637711442060849
is_year_start,0.007153198677780179
R06_lag4,0.007139173088978793
N05B_lag2,0.006481920591427677
M01AB_lag8,0.006018452330834522
N05B_lag12,0.0060114501410708345
N02BA_lag8,0.005955452136932454
N02BE_lag8,0.005829730623398433
N02BE_lag12,0.005700117098519124
R06_lag2,0.005550796339599846
M01AE_lag12,0.005465267977739801
N05B_lag8,0.005436552900269791
N02BE_lag3,0.005387240801935035
M01AE_lag4,0.005381106402698925
N02BA_lag1,0.005277964592773034
R03_lag2,0.0050792876066689365
N02BA_lag2,0.004904473279093124
R03_lag4,0.004767070984869593
N02BA_lag4,0.00453693703599669
R06_lag12,0.004335534538827076
R03_lag1,0.0042207235581655745
M01AE_lag1,0.004108996325672758
N05C_lag12,0.003993821373747079
M01AE_lag3,0.003706833574264726
N02BA_lag3,0.003644180699173463
R03_lag12,0.0035527691993284113
N02BA_lag12,0.0033844939610973134
M01AB_lag12,0.0033558351286543733
M01AB_lag3,0.0033457954924673654
M01AE_lag2,0.0032342495755389635
M01AB_lag2,0.003107649063462795
R03_lag3,0.0028369081904590517
M01AE_lag8,0.002779769650941975
N05B_lag4,0.002594435370307731
N05C_lag2,0.002311852374283191
N05C_lag8,0.0022073611006271734
N05C_lag1,0.002196200914692764
N05C_lag3,0.002117407268039547
N05C_lag4,0.002070764422224954
N05B_lag3,0.0018668523842642
month,0.0015967455103822025
year,0.001226791671077585
quarter,0.0007961242928439498
is_year_end,0.00011042922350671717
