Feature,MeanDrop,StdDrop
N02BE_lag1,0.9282152875301416,0.18079154614375703
N02BE_lag2,0.034197490340969444,0.016301307546783005
weekofyear,0.025064208213208653,0.007090105565507427
R06_lag3,0.024061514725942756,0.011060559824294531
R06_lag8,0.011187437119284535,0.011878037866954703
R06_lag2,0.004339067221068771,0.003795031194915737
R06_lag4,0.004220867746598769,0.0018836853298015738
N05C_lag3,0.0025496908705186904,0.0011013095732557146
N02BA_lag1,0.002145352649998624,0.0021955572870623026
R06_lag12,0.0019426773017021603,0.003573763633410517
N05B_lag1,0.00177496507245563,0.001148855817905599
N05C_lag4,0.0014134443767665704,0.0006404531239521425
N05C_lag12,0.0013917202457954646,0.002058302583135092
N02BE_lag8,0.0013782835819265626,0.0015483020079056287
N05B_lag8,0.0012973644641539406,0.002629388133620219
N05B_lag2,0.0011904418985630883,0.0017734723390728647
month,0.0011630310233559072,0.0004951662617901267
N02BA_lag8,0.0010978790131828476,0.0011580196651099247
R03_lag3,0.0009513498293248568,0.0013797896828976778
N02BA_lag4,0.0009046145617452251,0.0023261930272456773
N02BE_lag12,0.0008590708919062263,0.001691546895466256
N05B_lag12,0.0005971773382843804,0.0008823917119526582
N02BE_lag4,0.0005685773952753648,0.004440923757277865
N05B_lag4,0.0005525358841038064,0.00034731166234196724
M01AB_lag1,0.0005438662815820305,0.003050503492991455
N02BA_lag2,0.00047445511132989673,0.0011059707582484958
R03_lag1,0.00037108981490782125,0.0023212529651205935
M01AE_lag2,0.0003217097150569859,0.0008307701031725489
M01AE_lag12,0.0003053713106602851,0.004539872754083965
M01AB_lag3,0.000296589489124508,0.000933950626524934
R03_lag8,0.00023148583156238356,0.007401429554092891
R03_lag2,0.0001059959109126818,0.004668572603339699
N02BA_lag12,2.5932241321435787e-06,0.0007210808220347215
is_year_end,-5.773159728050814e-17,8.379058453350832e-17
is_year_start,-6.88338275267597e-17,9.125465977548382e-17
year,-8.659739592076221e-17,8.961913909027148e-17
N05C_lag8,-3.730838499862887e-05,0.0009625650215561206
N02BA_lag3,-8.519248810222813e-05,0.0021110560123199854
N05C_lag1,-0.00017849206291241425,0.000495088295420278
N05B_lag3,-0.00017975477960569197,0.0004501623048048553
R03_lag4,-0.00033100283765697736,0.0013062273303109245
M01AB_lag12,-0.0003334027660649452,0.0007446514321053904
quarter,-0.0003630539024268087,0.0006356219693865202
N05C_lag2,-0.00046412287384365756,0.0004868092662297024
N02BE_lag3,-0.0007718858312412036,0.0020399615956972765
M01AE_lag8,-0.0008385912635907422,0.0010544484154934712
M01AB_lag2,-0.0010862588302633447,0.0009547367400635094
M01AE_lag3,-0.0012678153379037439,0.0019088884917702717
R03_lag12,-0.001578971691946758,0.0009015617281704824
M01AB_lag8,-0.001715261114776181,0.004098731592790593
M01AE_lag1,-0.0026321533731975587,0.002455252401840508
M01AE_lag4,-0.005088242080389156,0.0038448644358027345
R06_lag1,-0.006575252129004512,0.009854912874389348
M01AB_lag4,-0.006790848617108642,0.012468091391844226
